number,abbr,name,address,numberoffloors,lan,lon
7,,Maintenance Machine Shed,10720 FM 50,1,30.51953606,-96.41673369
10,,Implement Barn,,1,30.51999039,-96.4167104
14,,Implement Storage Shed,10720 FM 50,1,30.51973088,-96.41593222
39,ARTF,Aquaculture Research Teaching Facility,300 Aquatic Facility Rd,1,30.54506694,-96.43826562
40,,Farm Service Office Bldg,14250 FM 60 E,1,30.54938833,-96.43676954
41,,Farm Service Lab & Office,201 Reveille Rd,1,30.54944653,-96.43652995
42,,Farm Service East Wing,201 Reveille Rd,1,30.54931666,-96.43620662
43,,Farm Service Maint Shed,201 Reveille Rd,1,30.54899577,-96.43620785
44,,Farm Service Chemical Storage,201 Reveille Rd,1,30.54844084,-96.4361082
45,,Farm Service West Wing Shed,201 Reveille Rd,1,30.54899618,-96.43662599
46,,Farm Service Northwest Shed,201 Reveille Rd,1,30.54921225,-96.43677357
47,,Aquatic Research Center,350 Aquatic Facility Rd,1,30.54513127,-96.43770377
48,,MARINE RESEARCH LAB (Demolished 2011),261 Aquatic Rd,1,30.54517605,-96.43962277
50,,Field Lab Equipment Shed,201 Reveille Rd,1,30.54873325,-96.43583351
51,,Field Lab Implement Shed,201 Reveille Rd,1,30.54855339,-96.43666445
52,,Pump House,344 Aquatic Rd,1,30.54497586,-96.43783992
53,,Hatchery,362 Aquatic Rd,1,30.5450293,-96.43760686
54,,Sample Processing Laboratory,201 Reveille Rd,1,30.54830125,-96.43625251
55,,Storage Shed,201 Reveille Rd,1,30.54885824,-96.43699964
57,,Hatchery Bldg,,1,30.544855,-96.43892848
60,,Rainwater Restroom,,1,30.53164011,-96.42134393
62,,Disability Services Bldg,701 West Campus Bl,1,30.60719469,-96.35468228
63,,Conference Building #2,713 West Campus Bl,1,30.60710734,-96.35444274
64,,Residence Life Bldg,735 West Campus Bl,1,30.60682839,-96.35414819
65,,Student Counseling Service Reception Bldg,757 West Campus Bl,1,30.60696457,-96.35494129
66,,Student Counseling Service Bldg #1,769 West Campus Bl,1,30.60676591,-96.35462504
67,,Student Counseling Service Bldg #2,781 West Campus Bl,1,30.60659781,-96.35481848
68,,Student Life Bldg #2,803 West Campus Bl,1,30.60667114,-96.35529162
69,,Conference Building #1,815 West Campus Bl,1,30.6065215,-96.35511771
70,,Student Life Bldg #1,837 West Campus Bl,1,30.60628515,-96.35523193
113,,Farm Superintendent House,10724 FM 50,1,30.51766104,-96.41579263
114,,Office Metal Building,,1,30.51910772,-96.41585574
117,,North Gate Post Office Building,,1,30.61825413,-96.3449627
139,,ESTI Private Sector Office,1595 Nuclear Science Rd,1,30.58110798,-96.35679146
145,,ESTI Technical Equipment Storage,1595 Nuclear Science Rd,1,30.57711916,-96.34965616
148,,ESTI Haz Mat Classroom,1951 Emergency Response Dr.,1,30.57778086,-96.34959003
149,,ESTI Haz Mat Office,1595 Nuclear Science Rd,1,30.57813643,-96.34994072
165,,Schubot Exotic Bird Health Center,701 Farm Service Rd,1,30.62072882,-96.3582835
170,,TVMC-Deer Shelter (demolished),670 Turk Rd,1,30.61802687,-96.35886131
171,,Equine Initiative Barn,3272 F&B Rd,1,30.61466054,-96.37169852
172,,Equine Initiative Warm Up Arena #1,3260 F&B Rd,1,30.61523276,-96.37134011
173,,Houston Livestock Show & Rodeo Western Arena,3246 F&B Rd,2,30.61557781,-96.37047406
174,,Equine Initiative Concessions/Locker Bldg,3250 F&B Rd,1,30.61505497,-96.37047549
175,,Equine Initiative Equestrian/Locker Bldg,3242 F&B Rd,1,30.61518439,-96.37007503
176,,Hunt Seat Arena,3234 F&B Rd,2,30.61462872,-96.37006388
177,EQEB,Equine Initiative Education Bldg,3228 F&B Rd,1,30.61520313,-96.36940568
178,EQOB,Equine Initiative Outreach Bldg,3230 F&B Rd,1,30.61581862,-96.36967156
179,,Equine Initiative Warm Up Arena #2,3254 F&B Rd,1,30.61442969,-96.37099275
180,,Equine Initiative Horse Stall Bldg,3284 F&B Rd,1,30.61449509,-96.37220807
181,,Equine Initiative Equipment Shed,3288 F&B Rd,1,30.61520108,-96.37247489
200,,Dr. David E. Schob Military Appreciation Home,906 Ashburn Av,1,30.62992837,-96.32213313
270,ETB,Emerging Technologies Building,101 Bizzell St,6,30.62259446,-96.33888245
275,LAAH,Liberal Arts and Arts & Humanities Building,399 Spence St,5,30.61754512,-96.33794078
276,,TX Forest Service Greenhouse,264 Agronomy Rd,1,30.61643177,-96.35208088
277,,TX FOREST SERVICE GREENHOUSE,,1,30.61620096,-96.35183767
278,,TX Forest Service Greenhouse,250 Agronomy Rd,1,30.616113,-96.35175508
279,,TX Forest Service GH Headhouse,248 Agronomy Rd,1,30.61609048,-96.35191393
289,,Central Utility Plant Electrical Building,222 Ireland St,1,30.61759306,-96.34203035
290,WELL,Wells Residence Hall,700 Mosher Ln,4,30.61484829,-96.33490742
291,RUDD,Rudder Residence Hall,770 Mosher Ln,4,30.61500449,-96.33417252
292,EPPR,Eppright Residence Hall,695 Spence St,4,30.61442243,-96.33451792
293,APPE,Appelt Residence Hall,660 Mosher Ln,4,30.61431139,-96.33539318
294,LECH,Lechner Residence Hall,232 Houston St,4,30.61616816,-96.34388061
296,MIST,Mitchell Inst for Fundamental Phys & Astronomy,576 University Dr,7,30.62003752,-96.34291762
297,MPHY,Mitchell Physics Building,578 University Dr,7,30.62025748,-96.34243874
298,,ESTI Electrical Building,,1,30.58044921,-96.35433793
299,,ESTI Control Building,,1,30.58053012,-96.3548602
301,,ESTI Pump Operations Building,1595 Nuclear Science Rd,1,30.58495516,-96.35511498
302,,ESTI Pump Operations Building,1595 Nuclear Science Rd,1,30.58543601,-96.35579323
303,,ESTI Pump Operations Building,1595 Nuclear Science Rd,1,30.58479853,-96.35576958
304,,ESTI Pump Operations Building,1595 Nuclear Science Rd,1,30.58431735,-96.35524654
307,,ESTI Drill Tower,1595 Nuclear Science Rd,5,30.57896881,-96.35452989
308,,ESTI Breathing Apparatus Maze,1595 Nuclear Science Rd,1,30.57931158,-96.35479699
312,,ESTI Rail Tank Car Loading Rack Fires,,,30.58101312,-96.35536107
314,,ESTI Breathing Apparatus Storage,1595 Nuclear Science Rd,1,30.57896589,-96.35422211
315,,ESTI Pump Maintence Building,1595 Nuclear Science Rd,1,30.58303557,-96.35558616
320,,ESTI Sprinkler Systems,1595 Nuclear Science Rd,1,30.58121278,-96.35611256
322,,ESTI Marine Vessle Project,,,30.57899427,-96.35547325
323,,ESTI Hay Barn,1595 Nuclear Science Rd,1,30.58082941,-96.35396602
324,,ESTI Wood Storage,1595 Nuclear Science Rd,1,30.58073988,-96.35371589
325,CVLB,CVE Lab Building,233 Spence Street,4,30.61999312,-96.3395006
326,,ESTI Pump Alley Fires,,,30.58200707,-96.35656338
327,,ESTI Loading Terminal Fires,,,30.58154568,-96.35602204
328,,ESTI API Storage Tank Fires,,,30.58120576,-96.35560134
329,,ESTI Tank & Dike Fires,,,30.58086238,-96.35517022
334,,ESTI Pipe Rack Fires,,,30.58234754,-96.3551366
335,,ESTI Process Unit Fires,,,30.58176787,-96.35525089
337,,ESTI Automobile Fires,,,30.57992319,-96.35557767
338,,ESTI Bobtail/Transport Fires,,,30.57969546,-96.35585573
339,,ESTI Milti-User Shelter,,,30.58047853,-96.35476873
342,,ESTI Field Maintenance Office,1595 Nuclear Science Rd,1,30.57871127,-96.35553713
344,,ESTI Recruit Classroom/Fire Station,1625 Nuclear Science Rd,2,30.58086973,-96.35692082
345,,ESTI Breathing Apparatus Storage,1595 Nuclear Science Rd,1,30.57910856,-96.35474196
347,,ESTI Annual School/Extension Offices/Gym,1617 Nuclear Science Rd,2,30.5812684,-96.35705489
348,,ESTI Pump/Vehicle Maintenance,1627 Methner St.,2,30.5832202,-96.35571919
350,,Albritton Bell Tower,200 Old Main Dr,6,30.61311045,-96.34466142
353,HRBB,Bright Building,710 Ross St,9,30.61899799,-96.33879967
354,,ESTI Hazardous Material Classroom,1955 Emergency Response Dr.,1,30.57758949,-96.34969178
356,,Parking Booth At PA35,704 Lamar St,1,30.6161811,-96.33628801
357,,Vending Machine Booth,408 Spence St,1,30.61654627,-96.33822381
358,DPDC,Davis Football Player Development Center,886 Houston St,1,30.60859523,-96.33852279
359,ARCB,Architecture Building B,782 Ross St,2,30.61922379,-96.33830183
361,BFC,Bright Football Complex,878 Houston St,3,30.60888118,-96.33916944
363,,Shed-VP Student Services,750 Throckmorton St,1,30.61089325,-96.33711802
367,KYLE,Kyle Field,161 Wellborn Rd,9,30.60989375,-96.3395553
370,,Hensel Park Picnic Shelter,,1,30.62873321,-96.34601417
375,CLAC,Williams Alumni Center,505 George Bush Dr,3,30.60843909,-96.33625782
376,CHAN,Chemistry,646 Ross St,6,30.6184802,-96.33956206
377,SUP3,Satellite Utility Plant No. 3,477 Joe Routt Bl,1,30.61377954,-96.3390076
378,SSPG,South Side Parking Garage,750 Bizzell St,4,30.61367741,-96.33362642
379,UCPG,University Center Parking Garage,660 Throckmorton St,7,30.6120436,-96.33872702
383,JJKB,Koldus Building,400 Joe Routt Bl,3,30.61166956,-96.33921663
384,SCCT,Sam Houston Sanders Corps of Cadets Center,475 Short St,1,30.61207865,-96.33748366
385,CVOB,CE Office Building,199 Spence St,10,30.62017735,-96.33989493
386,CHEN,Jack E. Brown Chemical Engineering Building,100 Spence St,7,30.62085301,-96.34180455
387,RICH,Joe C. Richardson Petroleum Engineering Building,245 Spence St,12,30.61948226,-96.33936299
388,NSPG,Northside Parking Garage,104 Ireland St,5,30.61914783,-96.34344172
389,,Grounds Maintenance Potting Shed,538 College Av,1,30.62828424,-96.34381148
391,ENPH,James J. Cain '51 Building,180 Spence St,5,30.61968441,-96.34099605
392,MEOB,Mechanical Engineering Office Building,202 Spence St,6,30.619642,-96.34037202
393,LIND,John H. Lindsey Building,646 Lewis St,1,30.61178561,-96.33363196
394,UNDE,Underwood Residence Hall,644 Mosher Ln,4,30.61410233,-96.33569887
398,ARCA,Langford Architecture Center Building A,798 Ross St,5,30.61879854,-96.33763182
400,SPEN,Spence Hall - Dorm 1,605 Military Mall,4,30.61428389,-96.33706762
401,KIES,Kiest Hall - Dorm 2,606 Military Mall,5,30.61391473,-96.33761194
402,BRIG,Briggs Hall - Dorm 3,635 Military Mall,4,30.61401167,-96.33654671
403,FOUN,Fountain Hall - Dorm 4,636 Military Mall,5,30.61341245,-96.33743011
404,GAIN,Gainer Hall - Dorm 5,665 Military Mall,5,30.61387514,-96.33598491
405,LACY,Lacy Hall - Dorm 6,664 Military Mall,5,30.61290118,-96.33740344
406,LEON,Leonard Hall - Dorm 7,695 Military Mall,5,30.61329393,-96.3359735
407,HARL,Harrell Hall - Dorm 8,696 Military Mall,5,30.61275539,-96.33676875
408,WHTE,Whitely Hall - Dorm 9,735 Military Mall,5,30.61285385,-96.33576946
409,WHIT,White Hall - Dorm 10,736 Military Mall,5,30.61248463,-96.33631238
410,HARR,Harrington Hall - Dorm 11,767 Military Mall,5,30.61272378,-96.33494771
411,UTAY,Utay Hall - Dorm 12,766 Military Mall,5,30.61176074,-96.33635978
412,MOSE,Moses Residence Hall,212 University Dr,4,30.61559426,-96.34572682
415,DAVI,Davis-Gary Residence Hall,210 University Dr,4,30.61553351,-96.3464356
416,BIZL,Bizzell Hall,471 Houston St,4,30.61397398,-96.34134499
417,HART,Hart Residence Hall,460 Throckmorton St,4,30.61434752,-96.34068414
419,LEGE,Legett Residence Hall,422 Ross St,4,30.61618221,-96.34232469
420,MILN,Milner Hall,425 Ross St,4,30.61687975,-96.3428791
422,WALT,Walton Residence Hall,166 Houston St,5,30.61679319,-96.34525288
424,HOTA,Hotard Hall,110 Asbury St,5,30.61822483,-96.34451383
425,HEND,Henderson Hall,222 Jones St,3,30.6147566,-96.34445712
426,HUGH,Hughes Residence Hall,265 Jones St,5,30.61551536,-96.34518516
427,FOWL,Fowler Residence Hall,225 Jones St,5,30.61493203,-96.34538374
428,KEAT,Keathley Residence Hall,214 University Dr,5,30.61519236,-96.3456296
430,SCHU,Schuhmacher Residence Hall,308 University Dr,5,30.61715453,-96.34546565
432,ARCC,Architecture Building C,788 Ross St,4,30.61935536,-96.33799218
433,MOSH,Mosher Residence Hall,725 Mosher Ln,5,30.61525042,-96.33516939
434,CYCL,Luedecke Building (Cyclotron),120 Spence St,4,30.62032831,-96.34132465
435,EDCT,Harrington Education Center Office Tower,540 Ross St,10,30.61655439,-96.34089711
436,RDMC,Reed-McDonald Building,575 Ross St,5,30.61830208,-96.34097815
438,HECC,Harrington Education Center Classroom Building,544 Ross St,3,30.61687909,-96.34042241
440,COMM,Commons,676 Lubbock St,2,30.61531352,-96.33596987
441,KRUE,Krueger Residence Hall,722 Lubbock St,4,30.61575484,-96.33553987
442,DUNN,Dunn Residence Hall,636 Lubbock St,4,30.61488434,-96.33681209
443,OM,Oceanography & Meteorology Building,797 Lamar St,16,30.617721,-96.33665412
444,PETR,Peterson Building,435 Nagle St,5,30.61597755,-96.33858093
445,TEAG,Teague Research Center,735 Lamar St,5,30.61729093,-96.33607553
446,RDER,Rudder Tower,401 Joe Routt Bl,14,30.61325168,-96.33995717
447,ASTO,Aston Residence Hall,655 Mosher Ln,4,30.61447252,-96.33630716
448,ADAM,Adams Band Hall,611 Lewis St,3,30.61230878,-96.33465262
449,BSBW,Biological Sciences Bldg West,424 Nagle St,5,30.61561806,-96.33964536
450,DCAN,Duncan Dining Hall,777 Military Mall,3,30.6120335,-96.33543564
454,MSC,Memorial Student Center,275 Joe Routt Bl,4,30.61229558,-96.34142211
456,MILS,Military Sciences Building,520 Coke St,4,30.61437977,-96.33919567
457,TAES,TAES Annex Building,730 Lamar St,2,30.61647996,-96.33595223
458,EABC,Engineering Activities Bldg C,588 Lamar St,1,30.61526531,-96.33784177
459,EABB,Engineering Activities Bldg B,620 Lamar St,1,30.61544539,-96.33742382
460,EABA,Engineering Activities Bldg A,646 Lamar St,1,30.61575066,-96.33712668
461,COKE,Coke Building,415 Houston St,3,30.61461253,-96.34171063
462,ACAD,Academic Building,377 Houston St,6,30.61577409,-96.34076571
463,PSYC,Psychology Building,515 Coke St,4,30.61471417,-96.33960787
464,STCH,State Chemist Building,533 Coke St,3,30.61522151,-96.33927907
465,BTLR,Butler Hall,525 Lubbock St,4,30.61483756,-96.33893061
467,BSBE,Biological Sciences Bldg East,424 Nagle St,3,30.6158757,-96.33949268
468,LIBR,Evans Library,400 Spence St,7,30.61703109,-96.33897591
469,CCPG,Central Campus Parking Garage,450 Spence St,8,30.61647634,-96.33772076
470,GLAS,Melbern G. Glasscock Building,398 Spence St,4,30.6173265,-96.33848213
471,PAV,Pavilion,424 Spence St,2,30.61683048,-96.33801469
472,AIEN,AI Engineering Building,423 Spence St,6,30.61724886,-96.33719804
473,ADMN,Jack K. Williams Administration Building,400 Bizzell St,4,30.61869392,-96.33646429
474,YMCA,YMCA Building,365 Houston St,4,30.61517622,-96.34228063
476,FRAN,Francis Hall,574 Ross St,3,30.61730809,-96.3397611
477,ANTH,Anthropology Building,340 Spence St,3,30.61774566,-96.33901058
478,SCTS,Scoates Hall,333 Spence St,3,30.6186044,-96.33851358
480,BLTN,Bolton Hall,456 Ross St,4,30.61618936,-96.34166162
481,HEAT,Heaton Hall,444 Ross St,2,30.61670488,-96.34225926
482,FERM,Fermier Hall,466 Ross St,4,30.61683935,-96.34172808
483,THOM,Thompson Hall,510 Ross St,3,30.61723426,-96.34126331
484,CHEM,Chemistry,580 Ross St,7,30.61791256,-96.33983628
490,HALB,Halbouty Geosciences Building,611 Ross St,6,30.61911278,-96.34086954
492,CVE,Civil Engineering Building,727 Ross St,3,30.6197085,-96.33892869
495,SBSA,Sbisa Dining Hall,233 Houston St,2,30.61715613,-96.34376199
496,UCO,Utilities & Energy Services Central Office,165 Asbury St,2,30.61843809,-96.34318489
498,CUP,Central Utility Plant,222 Ireland St,3,30.61812207,-96.34223462
499,EIC,Engineering Innovation Center,233 Ireland St,1,30.61860122,-96.34143208
501,CONC,Concrete Materials Laboratory,785 Ross St,2,30.62032372,-96.33900769
506,NGLE,Nagle Hall,454 Throckmorton St,5,30.61494828,-96.34052377
507,VMS,Veterinary Medical Sciences Building,400 Raymond Stotzer Pw,4,30.61324026,-96.35214354
508,VTH,Veterinary Teaching Hospital,404 Raymond Stotzer Pw,1,30.61294265,-96.35333053
510,,Adriance Lab,211 Adriance Lab Rd,1,30.61033141,-96.35320487
511,HLB,HEEP Laboratory Building,645 Lamar St,5,30.61620882,-96.33749365
512,CHPL,All Faiths Chapel,300 Houston St,1,30.6155294,-96.34364129
513,DRTY,Doherty Building,242 Spence St,4,30.61923656,-96.33993129
514,MASS,Munnerlyn Astronomy & Space Sciences Engineering,101 Asbury St,2,30.61891135,-96.34412335
516,CSC,Computing Services Center,731 Lamar St,3,30.61677385,-96.336864
517,CSA,DPC Annex,733 Lamar St,5,30.61695517,-96.33635296
518,EEC,Engineering Education Complex/Zachry,125 Spence St,8,30.62135584,-96.34033747
519,KAMU,Moore Communications Center,900 Houston St,1,30.60851532,-96.33760878
520,BEUT,Beutel Health Center,311 Houston St,3,30.61564464,-96.34270565
521,HELD,Heldenfels Hall,466 Nagle St,5,30.6151231,-96.33869059
524,BLOC,Blocker Building,155 Ireland St,6,30.61953953,-96.34212072
525,,Volatile Storage Building,210 Spence St,1,30.61932187,-96.34028116
547,,Break Room at Central Utility Plant,193 Asbury St,1,30.61794601,-96.34296321
548,CLEM,Clements Residence Hall,211 Jones St,4,30.61444733,-96.34548347
549,HAAS,Haas Residence Hall,212 Houston St,4,30.6159159,-96.34456765
550,MCFA,McFadden Residence Hall,301 Jones St,4,30.61565389,-96.34428183
630,PRVP,Vice President's Residence,750 Throckmorton St,2,30.61110269,-96.33693952
632,,Compressor House,790 THROCKMORTON ST,1,30.61056881,-96.33735016
634,PRES,One Circle Drive,800 Throckmorton St,2,30.61016102,-96.33689298
635,,Grounds Maintenance Storage,788 Throckmorton St,1,30.61061755,-96.33737763
652,NEEL,Neeley Residence Hall,140 Asbury St,4,30.61797338,-96.34439607
653,HOBB,Hobby Residence Hall,160 Asbury St,4,30.61773973,-96.34412269
654,,Generator Shed,835 Bizzell St,1,30.61414523,-96.33143053
655,,Golf Course Maintenance Shop,835 Bizzell St,1,30.6148538,-96.33111898
672,GOLF,Golf Course Clubhouse,577 Bizzell St,1,30.61683424,-96.33401604
677,,Golf Course Halfway House,849 BIZZELL ST,1,30.6182243,-96.32864375
682,WEB,Wisenbaker Engineering Building,188 Bizzell St,4,30.62089268,-96.3389266
685,,Grounds Maintenance - Tractor Shed,508 College Av,1,30.62660359,-96.34387528
687,,ESTI Industrial Classroom,1595 Nuclear Science Rd,1,30.5832191,-96.35636904
688,,ESTI Industrial Technician Office/Shop,,2,30.57882326,-96.35633788
689,,ESTI Warehouse Building,,2,30.57857339,-96.35603934
700,,ESTI 3-Story Project,1595 Nuclear Science Rd,2,30.58051247,-96.35525765
712,,RADIATION BIOLOGY,,1,30.57926064,-96.36353482
715,,Chemistry Chemical Storage,610 Ross St,1,30.61813495,-96.33996573
717,,Storage and Lab-Cyclotron,176 Spence St,1,30.62007758,-96.34092623
718,,Storage-Cyclotron,154 SPENCE ST,1,30.62028688,-96.34096768
720,,ESTI Chemical Complex Fires,,,30.58116731,-96.35451859
721,,ESTI Warehouse Fires,,1,30.58093139,-96.35587249
724,,ESTI Breathing Apparatus Compressor Building,1595 Nuclear Science Rd,1,30.57925691,-96.35456433
726,,Grounds Maintenance Greenhouse 4,522 College Av,1,30.62723966,-96.34491837
728,,Grounds Maintenance Greenhouse 5,520 College Av,1,30.62731141,-96.34483764
729,,Biology Greenhouse,570 Floriculture Rd,1,30.630252,-96.34282973
732,,Grounds Maintenance Greenhouse,528 College Av,1,30.62688206,-96.34518589
733,,Grounds Maintenance Greenhouse,526 College Av,1,30.62698487,-96.34506423
740,MCNW,McNew Laboratory,185 Spence St,3,30.62042486,-96.33961132
742,,Grounds Maintenance Storage,510 College Ave,1,30.62692231,-96.3439424
744,,Wind Tunnel Compressor Building,1787 George Bush Dr W,1,30.59016997,-96.35776633
747,,Grounds Maintenance Supply Bldg,506 College Av,1,30.62655659,-96.34425782
754,,Easterwood Shops,1810 George Bush Dr W,1,30.58963371,-96.35780393
755,,Easterwood General Aviation Terminal,1770 George Bush Dr W,1,30.58997373,-96.35866779
757,,Waste Water Lift Station,,1,30.59261602,-96.35791514
759,WIND,Nicks Low Speed Wind Tunnel,1775 George Bush Dr W,2,30.59038775,-96.35786072
797,,Horticulture Implement Shed - A,275 Adriance Lab Rd,1,30.60996585,-96.35250205
798,,Horticulture Implement Shed - B,267 Adriance Lab Rd,1,30.61028846,-96.35240591
799,,Horticulture Shop,261 Adriance Lab Rd,1,30.6102732,-96.35269828
806,STL,Soil Testing Lab,2610 F&B Rd,1,30.62271936,-96.35976625
815,ERLB,Entomology Research Lab,122 Agronomy Rd,1,30.61455902,-96.35116718
816,,Water Distribution Pump Station No. 1,2416 F&B Rd,1,30.62369443,-96.35779316
817,,Well Field Pump Station,2951 Luza Ln,2,30.65425561,-96.47937349
824,,Grounds Maintenance Implement Shed,,1,30.62732877,-96.34445248
828,,Grounds Shop Warehouse,514 College Av,2,30.62698372,-96.3446133
829,,Grounds Maintenance Office Shop/Stor,512 College Av,2,30.62686808,-96.34447906
831,,Grounds Maintenance Greenhouse,524 College Av,1,30.62708584,-96.34496972
861,INSC,CUSE-Chemistry,156 Agronomy Rd,1,30.61493712,-96.3514406
862,,Butler Building,158 Agronomy Rd,1,30.61521091,-96.35109796
880,,TVMC-Small Animal Building,141 Agronomy Rd,1,30.61362289,-96.35264584
943,,TVMC-Barn No 2,537 Turk Rd,1,30.61381059,-96.35697066
954,AGRL,Agronomy Field Lab,285 Agronomy Rd,1,30.61594053,-96.35352795
955,,Soil/Crop Cotton Genetic Greenhouse,357 Agronomy Rd,1,30.6163787,-96.35401419
956,PGBG,Perennial Grass Breeding and Genetics,787 Agronomy Rd,2,30.62173447,-96.35843337
957,PRCH,Purchasing & Stores,330 Agronomy Rd,1,30.61716366,-96.35260719
958,FLSV,Fleet Services,388 Agronomy Rd,2,30.61778323,-96.35349019
959,,Plant Science Greenhouse,367 Agronomy Rd,1,30.61695489,-96.35459471
960,SCSFGH,SCS Forage Greenhouse,369 Agronomy Rd,1,30.61685575,-96.35450397
961,,Cotton Greenhouse,367 Agronomy Rd,1,30.61675704,-96.35441299
962,,Plant Science Grain Sorghum Greenhouse,365 Agronomy Rd,1,30.61667428,-96.35431606
963,,Hort & Plant Science Greenhouse,361 Agronomy Rd,1,30.61659474,-96.35424189
964,,Agronomy Greenhouse,359 Agronomy Rd,1,30.61651496,-96.35416823
965,BEAS,Beasley Laboratory,363 Agronomy Rd,1,30.61687014,-96.35419534
966,,Purchasing & Stores - General Storage,286 Agronomy Rd,1,30.61777808,-96.35186793
967,,Purchasing & Stores - Volatile Storage,280 Agronomy Rd,1,30.61735747,-96.35157333
969,TRSV,Transit Services,444 Agronomy Rd,2,30.61831651,-96.35420405
970,PPGM,Phys Plant-Grounds Maintenance,470 Agronomy Rd,1,30.61879338,-96.35476299
971,FOOD,Fred Dollar Food Services Commissary,474 Agronomy Rd,1,30.61969141,-96.35384219
972,LARR,Laboratory Animal Care Building,233 Agronomy Rd,1,30.61517188,-96.35299812
973,,CMP-Animal Housing Unit,672 Turk Rd,1,30.61639584,-96.3587602
974,,CMP-Animal Housing Unit,680 Turk Rd,1,30.61629806,-96.35890824
975,,CMP-Animal Housing Unit,682 Turk Rd,1,30.61620093,-96.35905765
976,,CMP-Animal Housing Unit,674 Turk Rd,1,30.6166385,-96.35887075
977,,CMP-Animal Housing Unit,676 Turk Rd,1,30.61650296,-96.3590011
978,,CMP-Quarantine Unit,814 Turk Rd,1,30.61498383,-96.361094
979,TURF,Turfgrass Field Lab,657 Farm Service Rd,1,30.61920269,-96.35786249
980,,Murray Case Sells Storage Bldg,288 Agronomy Rd,1,30.61797914,-96.35183742
983,,Trans Center Paint Storage,360 Agronomy Rd,1,30.61787073,-96.35289275
989,VMCA,TVMC-Caged Animals,601 Turk Rd,1,30.61472771,-96.35804689
